{0 0.13776,1 5,2 -1}
{0 0.053503,1 4,2 -1}
{0 0.134464,1 6,2 -1}
{0 0.083333,1 2,2 -1}
{0 0.148567,1 8,2 -1}
{0 0.114564,1 7,2 -1}
{0 0.102382,1 7,2 -1}
{0 0.149207,1 7,2 -1}
{0 0.140351,1 6,2 -1}
{0 0.118119,1 6,2 -1}
{0 0.151748,1 7,2 -1}
{0 0.121605,1 7,2 -1}
{0 0.13333,1 7,2 -1}
{0 0.157025,1 7,2 -1}
{0 0.095268,1 6,2 -1}
{0 0.138201,1 7,2 -1}
{0 0.111647,1 6,2 -1}
{0 0.095899,1 2,2 -1}
{0 0.126508,1 7,2 -1}
{0 0.090895,1 7,2 -1}
{0 0.119517,1 5,2 -1}
{0 0.151842,1 7,2 -1}
{0 0.114158,1 5,2 -1}
{0 0.046225,1 1,2 -1}
{0 0.121213,1 7,2 -1}
{0 0.120557,1 6,2 -1}
{0 0.104625,1 6,2 -1}
{0 0.13349,1 7,2 -1}
{0 0.140477,1 6,2 -1}
{0 0.1483,1 7,2 -1}
{0 0.089087,1 2,2 -1}
{0 0.069673,1 2,2 -1}
{0 0.022272,1 1,2 -1}
{0 0.139313,1 6,2 -1}
{0 0.155423,1 7,2 -1}
{0 0.057098,1 5,2 -1}
{0 0.072206,1 5,2 -1}
{0 0.062344,1 7,2 -1}
{0 0.080793,1 5,2 -1}
{0 0.210042,1 3,2 -1}
{0 0.052747,1 4,2 -1}
{0 0.064423,1 3}
{0 0.111703,1 5,2 -1}
{0 0.13789,1 1,2 -1}
{0 0.078441,1 6,2 -1}
{2 -1}
{0 0.033625,1 6,2 -1}
{0 0.014649,1 3,2 -1}
{0 0.054103,1 5,2 -1}
{0 0.155765,1 4,2 -1}
{0 0.081294,1 6,2 -1}
{0 0.051176,1 5,2 -1}
{2 -1}
{0 0.090481,1 3,2 -1}
{0 0.07476,1 6,2 -1}
{0 0.102262,1 1,2 -1}
{0 0.089506,1 6,2 -1}
{0 0.0621,1 5,2 -1}
{0 0.076897,1 5,2 -1}
{0 0.081196,1 6,2 -1}
{0 0.055475,1 5,2 -1}
{0 0.17873,1 5,2 -1}
{0 0.10549,1 5,2 -1}
{0 0.095437,1 5,2 -1}
{0 0.079122,1 4,2 -1}
{0 0.027354,1 7,2 -1}
{0 0.077228,1 5,2 -1}
{0 0.075284,1 7,2 -1}
{2 -1}
{0 0.092946,1 6,2 -1}
{0 0.086228,1 6,2 -1}
{0 0.133367,1 5,2 -1}
{0 0.018308,1 1,2 -1}
{0 0.131307,1 5,2 -1}
{2 -1}
{0 0.049133,1 3,2 -1}
{0 0.056483,1 5,2 -1}
{0 0.081746,1 3,2 -1}
{0 0.085898,1 8,2 -1}
{0 0.066956,1 6,2 -1}
{0 0.098266,1 3,2 -1}
{0 0.061729,1 6,2 -1}
{0 0.034962,1 3,2 -1}
{0 0.119618,1 3,2 -1}
{2 -1}
{0 0.047882,1 5,2 -1}
{0 0.059931,1 6,2 -1}
{0 0.031411,1 7,2 -1}
{0 0.064233,1 5,2 -1}
{0 0.107,1 5,2 -1}
{0 0.09256,1 5,2 -1}
{0 0.025174,1 5,2 -1}
{0 0.146936,1 5,2 -1}
{0 0.042781,1 6,2 -1}
{0 0.08593,1 5,2 -1}
{0 0.018833,1 4,2 -1}
{0 0.073757,1 5,2 -1}
{0 0.035422,1 5,2 -1}
{0 0.092082,1 1,2 -1}
{0 0.057614,1 6,2 -1}
{0 0.085019,1 6,2 -1}
{0 0.141761,1 4,2 -1}
{0 0.096955,1 5,2 -1}
{0 0.152331,1 4,2 -1}
{0 0.11651,1 3,2 -1}
{0 0.112509,1 6,2 -1}
{0 0.064538,1 5,2 -1}
{0 0.143929,1 4,2 -1}
{0 0.102258,1 5,2 -1}
{0 0.011609,1 5,2 -1}
{0 0.083064,1 4,2 -1}
{0 0.112272,1 3,2 -1}
{0 0.009756,1 1,2 -1}
{0 0.09356,1 2,2 -1}
{0 0.165911,1 5,2 -1}
{0 0.123969,1 6,2 -1}
{0 0.041119,1 3,2 -1}
{0 0.133396,1 21,2 -1}
{0 0.126432,1 28,2 -1}
{0 0.103159,1 19,2 -1}
{0 0.108438,1 2,2 -1}
{0 0.102618,1 20,2 -1}
{0 0.084891,1 17,2 -1}
{0 0.166843,1 24}
{0 0.114409,1 4,2 -1}
{0 0.147696,1 25,2 -1}
{0 0.056049,1 5,2 -1}
{0 0.083441,1 12,2 -1}
{0 0.092373,1 11,2 -1}
{0 0.136458,1 29,2 -1}
{0 0.164195,1 20,2 -1}
{0 0.140213,1 24,2 -1}
{0 0.145465,1 33,2 -1}
{0 0.044162,1 1,2 -1}
{0 0.066732,1 7,2 -1}
{0 0.127354,1 33,2 -1}
{0 0.082963,1 3,2 -1}
{0 0.131037,1 34,2 -1}
{0 0.117249,1 18,2 -1}
{0 0.12477,1 18,2 -1}
{0 0.144269,1 37,2 -1}
{0 0.105982,1 29,2 -1}
{0 0.189064,1 22,2 -1}
{0 0.143449,1 34,2 -1}
{0 0.141282,1 21,2 -1}
{0 0.063754,1 15,2 -1}
{0 0.091747,1 39,2 -1}
{0 0.127416,1 25,2 -1}
{0 0.136696,1 41,2 -1}
{0 0.051637,1 3,2 -1}
{0 0.159131,1 26,2 -1}
{0 0.128931,1 24,2 -1}
{0 0.155097,1 20,2 -1}
{0 0.094517,1 11,2 -1}
{0 0.149014,1 21,2 -1}
{0 0.027601,1 2,2 -1}
{0 0.047625,1 6,2 -1}
{0 0.101114,1 27,2 -1}
{0 0.087851,1 14,2 -1}
{0 0.15283,1 27,2 -1}
{0 0.116389,1 32,2 -1}
{0 0.13977,1 8,2 -1}
{0 0.128233,1 19,2 -1}
{0 0.120824,1 14,2 -1}
{0 0.122529,1 13,2 -1}
{0 0.106717,1 5,2 -1}
{0 0.103287,1 30,2 -1}
{0 0.144121,1 21,2 -1}
{0 0.114192,1 23,2 -1}
{0 0.112169,1 22,2 -1}
{0 0.133995,1 16,2 -1}
{0 0.150606,1 21,2 -1}
{0 0.090556,1 16,2 -1}
{0 0.164154,1 31,2 -1}
{0 0.090173,1 19,2 -1}
{0 0.14636,1 35,2 -1}
{0 0.072228,1 14,2 -1}
{0 0.091775,1 16,2 -1}
{0 0.089403,1 19,2 -1}
{0 0.144314,1 7,2 -1}
{0 0.115363,1 21,2 -1}
{0 0.120469,1 23,2 -1}
{0 0.167284,1 15,2 -1}
{0 0.157154,1 28,2 -1}
{0 0.175595,1 16,2 -1}
{0 0.085929,1 4,2 -1}
{0 0.158864,1 34,2 -1}
{0 0.117144,1 22,2 -1}
{0 0.147614,1 16,2 -1}
{0 0.126508,1 16,2 -1}
{0 0.08324,1 23,2 -1}
{0 0.134777,1 19,2 -1}
{0 0.055202,1 4,2 -1}
{0 0.046051,1 4,2 -1}
{0 0.069003,1 3,2 -1}
{0 0.177678,1 22,2 -1}
{0 0.167663,1 26,2 -1}
{0 0.120546,1 13,2 -1}
{0 0.078194,1 2,2 -1}
{0 0.101739,1 3,2 -1}
{0 0.009015,1 1,2 -1}
{2 -1}
{0 0.030542,1 2,2 -1}
{0 0.007668,1 1,2 -1}
{0 0.032977,1 2,2 -1}
{0 0.061546,1 1}
{0 0.162633,1 2,2 -1}
{2 -1}
{0 0.063563,1 1,2 -1}
{0 0.026153,1 2,2 -1}
{0 0.133954,1 2,2 -1}
{0 0.081394,1 2,2 -1}
{0 0.079998,1 3,2 -1}
{0 0.217377,1 2,2 -1}
{0 0.133631,1 1,2 -1}
{2 -1}
{0 0.067388,1 2,2 -1}
{2 -1}
{0 0.060621,1 2,2 -1}
{0 0.118262,1 2,2 -1}
{0 0.051483,1 1,2 -1}
{0 0.101866,1 2,2 -1}
{0 0.029531,1 2,2 -1}
{0 0.041678,1 2,2 -1}
{0 0.024745,1 2,2 -1}
{0 0.022582,1 2,2 -1}
{0 0.004217,1 1,2 -1}
{0 0.009508,1 3,2 -1}
{0 0.03064,1 2,2 -1}
{0 0.066588,1 3,2 -1}
{2 -1}
{0 0.125887,1 2,2 -1}
{0 0.058338,1 1,2 -1}
{0 0.04141,1 2,2 -1}
{0 0.098058,1 2,2 -1}
{0 0.029927,1 2,2 -1}
{2 -1}
{2 -1}
{0 0.066209,1 2,2 -1}
{0 0.0139,1 1,2 -1}
{0 0.032132,1 3,2 -1}
{0 0.038875,1 2,2 -1}
{2 -1}
{0 0.064288,1 1,2 -1}
{0 0.16051,1 1,2 -1}
{2 -1}
{2 -1}
{0 0.03361,1 2,2 -1}
{0 0.162119,1 2,2 -1}
{0 0.151847,1 2,2 -1}
{0 0.036993,1 2,2 -1}
{2 -1}
{0 0.163549,1 2,2 -1}
{0 0.014498,1 2,2 -1}
{0 0.027459,1 2,2 -1}
{0 0.01005,1 2,2 -1}
{0 0.076407,1 2,2 -1}
{0 0.016812,1 1,2 -1}
{0 0.005215,1 1,2 -1}
{0 0.056214,1 2,2 -1}
{2 -1}
{0 0.115867,1 2,2 -1}
{0 0.010746,1 3,2 -1}
{0 0.021091,1 1,2 -1}
{0 0.089804,1 2,2 -1}
{0 0.080582,1 1,2 -1}
{2 -1}
{0 0.090668,1 2,2 -1}
{0 0.030406,1 1,2 -1}
{0 0.037941,1 2,2 -1}
{0 0.035336,1 1,2 -1}
{0 0.002303,1 1,2 -1}
{0 0.031779,1 2,2 -1}
{2 -1}
{0 0.034837,1 1,2 -1}
{2 -1}
{0 0.036519,1 2,2 -1}
{0 0.035413,1 3,2 -1}
{0 0.244704,1 2,2 -1}
{0 0.112711,1 5,2 -1}
{0 0.129119,1 5,2 -1}
{0 0.174294,1 3,2 -1}
{0 0.083333,1 1,2 -1}
{0 0.111989,1 3,2 -1}
{0 0.08179,1 4,2 -1}
{0 0.132953,1 4,2 -1}
{0 0.04103,1 1,2 -1}
{0 0.249542,1 5}
{0 0.050252,1 1,2 -1}
{0 0.108293,1 3,2 -1}
{0 0.034871,1 2,2 -1}
{0 0.167063,1 5,2 -1}
{0 0.131134,1 4,2 -1}
{0 0.103616,1 5,2 -1}
{0 0.222862,1 5,2 -1}
{0 0.089087,1 1,2 -1}
{0 0.143592,1 3,2 -1}
{0 0.135646,1 5,2 -1}
{2 -1}
{0 0.178426,1 5,2 -1}
{0 0.206959,1 3,2 -1}
{0 0.225001,1 5,2 -1}
{0 0.267625,1 5,2 -1}
{0 0.141445,1 5,2 -1}
