@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.11111111111111113,1 1,2 -1}
{0 0.1548992627628767,1 2,2 -1}
{0 0.1664422374564054,1 2,2 -1}
{0 0.05981850143365625,1 2,2 -1}
{0 0.20223070515547512,1 3,2 -1}
{0 0.24431495410779044,1 3,2 -1}
{0 0.3520854588816797,1 3,2 -1}
{0 0.05412652031574033,1 2,2 -1}
{0 0.18436902322470836,1 2,2 -1}
{0 0.1380196168580754,1 2,2 -1}
{0 0.2727386601491839,1 3,2 -1}
{0 0.03922815394978005,1 2,2 -1}
{0 0.2833553038462028,1 3,2 -1}
{0 0.18113284988318704,1 2,2 -1}
{0 0.1643989873053573,1 1,2 -1}
{0 0.29006264640868434,1 3,2 -1}
{0 0.05373083578153751,1 2,2 -1}
{0 0.1546689982235192,1 2,2 -1}
{0 0.17787179285856639,1 3,2 -1}
{0 0.16116459280507606,1 2,2 -1}
{0 0.04622501635210243,1 1,2 -1}
{0 0.10481514299564905,1 2,2 -1}
{0 0.16963322422426677,1 2,2 -1}
{0 0.30582713924676364,1 3,2 -1}
{0 0.13349047343893788,1 2,2 -1}
{0 0.059875418675457356,1 2,2 -1}
{0 0.14123786620234527,1 2,2 -1}
{0 0.2672612419124244,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.0890870806374748,1 1,2 -1}
{0 0.21099892877738857,1 2,2 -1}
{0 0.20723026862793426,1 2,2 -1}
{0 0.14682263526971892,1 2,2 -1}
{0 0.11975585080465535,1 7,2 -1}
{0 0.09489455911364052,1 7,2 -1}
{0 0.13823353547846862,1 7,2 -1}
{0 0.0,1 0,2 -1}
{0 0.15101500760709954,1 5,2 +1}
{0 0.08690225355199713,1 6,2 -1}
{0 0.13504662798622766,1 7,2 -1}
{0 0.04103049699311091,1 2,2 -1}
{0 0.14155075055836397,1 7,2 -1}
{0 0.1256297269074015,1 4,2 -1}
{0 0.11770996289191181,1 5,2 -1}
{0 0.16563749730588148,1 6,2 -1}
{0 0.12666421861651822,1 8,2 -1}
{0 0.11304697272716302,1 6,2 -1}
{0 0.12875862540030877,1 7,2 -1}
{0 0.08054221504420271,1 7,2 -1}
{0 0.0,1 0,2 -1}
{0 0.07179581586177382,1 3,2 -1}
{0 0.1355013039168497,1 7,2 -1}
{0 0.0,1 0,2 -1}
{0 0.13375062869635518,1 10,2 -1}
{0 0.11333487589790751,1 5,2 -1}
{0 0.1582632801765453,1 8,2 -1}
{0 0.15169453056319157,1 8,2 -1}
{0 0.13296438661547222,1 7,2 -1}
{0 0.13718999799550488,1 6,2 -1}
{0 0.1579400189030963,1 8,2 -1}
{0 0.12385667935139844,1 7,2 -1}
{0 0.12228560650801354,1 6,2 -1}
{0 0.1495334017477573,1 11,2 -1}
{0 0.1690868935844309,1 7,2 -1}
{0 0.1379030455521028,1 7,2 -1}
{0 0.125,1 3,2 -1}
{0 0.13504291329989537,1 7,2 -1}
{0 0.1339621028674473,1 8,2 -1}
{0 0.142634681560184,1 6,2 -1}
{0 0.11984874925111247,1 5,2 -1}
{0 0.11239365687036149,1 6,2 -1}
{0 0.0445435403187374,1 1,2 -1}
{0 0.1169594316606533,1 4,2 -1}
{0 0.1147630243204236,1 7,2 -1}
{0 0.09729732630620917,1 6,2 -1}
{0 0.1596884885541814,1 7,2 -1}
{0 0.13152728669214425,1 8,2 -1}
{0 0.15873065725374377,1 4,2 -1}
{0 0.13775969219449596,1 5,2 -1}
{0 0.05350322812548163,1 4,2 -1}
{0 0.1344640493982707,1 6,2 -1}
{0 0.08333333333333336,1 2,2 -1}
{0 0.14856690296439432,1 8,2 -1}
{0 0.11456413746999333,1 7,2 -1}
{0 0.10238166591529628,1 7,2 -1}
{0 0.14920680075495418,1 7,2 -1}
{0 0.1403511438491562,1 6,2 -1}
{0 0.11811899265707963,1 6,2 -1}
{0 0.15174756588520055,1 7,2 -1}
{0 0.12160510042480764,1 7,2 -1}
{0 0.1333296298774612,1 7,2 -1}
{0 0.15702527271824337,1 7,2 -1}
{0 0.09526837387803726,1 6,2 -1}
{0 0.13820089972866945,1 7,2 -1}
{0 0.111646541091792,1 6,2 -1}
{0 0.09589940926145842,1 2,2 -1}
{0 0.12650830094726587,1 7,2 -1}
{0 0.09089466386376763,1 7,2 -1}
{0 0.11951695317271938,1 5,2 -1}
{0 0.1518417743914591,1 7,2 -1}
{0 0.11415825323692887,1 5,2 -1}
{0 0.04622501635210243,1 1,2 -1}
{0 0.12121260401644078,1 7,2 -1}
{0 0.12055694551787513,1 6,2 -1}
{0 0.1046250739528402,1 6,2 -1}
{0 0.13349047343893788,1 7,2 -1}
{0 0.1404769438154961,1 6,2 -1}
{0 0.14829975951246255,1 7,2 -1}
{0 0.0890870806374748,1 2,2 -1}
{0 0.06967330142916177,1 2,2 -1}
{0 0.0222717701593687,1 1,2 -1}
{0 0.13931339528250655,1 6,2 -1}
{0 0.1554227014709507,1 7,2 -1}
{0 0.057097691493779586,1 5,2 -1}
{0 0.07220608731164402,1 5,2 -1}
{0 0.06234419458712203,1 7,2 -1}
{0 0.0807926260905512,1 5,2 -1}
{0 0.21004201260420147,1 3,2 -1}
{0 0.052747027274411565,1 4,2 -1}
{0 0.0644227914208309,1 3,2 +1}
{0 0.11170276351255946,1 5,2 -1}
{0 0.13789005066533844,1 1,2 -1}
{0 0.07844082898045412,1 6,2 -1}
{0 0.0,1 0,2 -1}
{0 0.033624691012760916,1 6,2 -1}
{0 0.014648771914463302,1 3,2 -1}
{0 0.054102821769479476,1 5,2 -1}
{0 0.1557646656779919,1 4,2 -1}
{0 0.08129419039153553,1 6,2 -1}
{0 0.0511761939486635,1 5,2 -1}
{0 0.0,1 0,2 -1}
{0 0.09048082596100575,1 3,2 -1}
{0 0.07475950153285923,1 6,2 -1}
{0 0.10226199851298273,1 1,2 -1}
{0 0.08950573364771336,1 6,2 -1}
{0 0.06210022286567973,1 5,2 -1}
{0 0.07689701294949211,1 5,2 -1}
{0 0.08119592044906411,1 6,2 -1}
{0 0.05547450939889323,1 5,2 -1}
{0 0.1787300634327808,1 5,2 -1}
{0 0.10548959543762831,1 5,2 -1}
{0 0.09543663270946301,1 5,2 -1}
{0 0.07912196315091476,1 4,2 -1}
{0 0.027353661055688837,1 7,2 -1}
{0 0.07722801251304083,1 5,2 -1}
{0 0.07528422586681056,1 7,2 -1}
{0 0.0,1 0,2 -1}
{0 0.09294642639840639,1 6,2 -1}
{0 0.0862283426258749,1 6,2 -1}
{0 0.13336709775239802,1 5,2 -1}
{0 0.018307834546036322,1 1,2 -1}
{0 0.131307375736195,1 5,2 -1}
{0 0.0,1 0,2 -1}
{0 0.049132788838094354,1 3,2 -1}
{0 0.05648285452023344,1 5,2 -1}
{0 0.08174610495345555,1 3,2 -1}
{0 0.08589842951689126,1 8,2 -1}
{0 0.06695624609123345,1 6,2 -1}
{0 0.09826557767618871,1 3,2 -1}
{0 0.06172868907577011,1 6,2 -1}
{0 0.03496243556181562,1 3,2 -1}
{0 0.11961783342433502,1 3,2 -1}
{0 0.0,1 0,2 -1}
{0 0.04788221747785829,1 5,2 -1}
{0 0.05993119292175394,1 6,2 -1}
{0 0.03141099608023117,1 7,2 -1}
{0 0.06423342799794675,1 5,2 -1}
{0 0.1070001629291518,1 5,2 -1}
{0 0.09256020160053725,1 5,2 -1}
{0 0.02517386722384209,1 5,2 -1}
{0 0.1469361969822259,1 5,2 -1}
{0 0.04278123836667089,1 6,2 -1}
{0 0.08592986563906185,1 5,2 -1}
{0 0.01883328092882116,1 4,2 -1}
{0 0.07375666685270035,1 5,2 -1}
{0 0.03542168017694417,1 5,2 -1}
{0 0.09208185110322617,1 1,2 -1}
{0 0.057614182139884125,1 6,2 -1}
{0 0.08501918774466519,1 6,2 -1}
{0 0.1417614007607722,1 4,2 -1}
{0 0.0969551817473485,1 5,2 -1}
{0 0.1523310094499165,1 4,2 -1}
{0 0.11651034560709261,1 3,2 -1}
{0 0.11250908667059721,1 6,2 -1}
